grid,long,lat
E001001,-129.64,16.19311
E002001,-129.345,16.2989
E003001,-129.0493,16.40386
E004001,-128.7529,16.50796
E005001,-128.4558,16.61121
E006001,-128.158,16.71356
E007001,-127.8595,16.81506
E008001,-127.5603,16.9157
E009001,-127.2604,17.01543
E010001,-126.9598,17.11428
E011001,-126.6585,17.21225
E012001,-126.3566,17.3093
E013001,-126.054,17.40546
E014001,-125.7507,17.50072
E015001,-125.4467,17.59505
E016001,-125.1421,17.68846
E017001,-124.8369,17.78096
E018001,-124.5309,17.87252
E019001,-124.2244,17.96316
E020001,-123.9172,18.05286
E021001,-123.6093,18.14161
E022001,-123.3009,18.22942
E023001,-122.9918,18.31627
E024001,-122.6821,18.40217
E025001,-122.3717,18.48711
E026001,-122.0608,18.57108
E027001,-121.7493,18.65408
E028001,-121.4371,18.7361
E029001,-121.1244,18.81715
E030001,-120.8111,18.89722
E031001,-120.4972,18.97629
E032001,-120.1828,19.05437
E033001,-119.8677,19.13145
E034001,-119.5521,19.20753
E035001,-119.236,19.28262
E036001,-118.9193,19.35669
E037001,-118.602,19.42975
E038001,-118.2842,19.50179
E039001,-117.9659,19.57281
E040001,-117.6471,19.64281
E041001,-117.3277,19.71177
E042001,-117.0078,19.77969
E043001,-116.6875,19.84659
E044001,-116.3666,19.91245
E045001,-116.0452,19.97726
E046001,-115.7234,20.04102
E047001,-115.4011,20.10374
E048001,-115.0783,20.16539
E049001,-114.755,20.226
E050001,-114.4313,20.28554
E051001,-114.1071,20.34401
E052001,-113.7825,20.40142
E053001,-113.4575,20.45774
E054001,-113.132,20.51302
E055001,-112.8061,20.5672
E056001,-112.4798,20.62031
E057001,-112.1531,20.67231
E058001,-111.826,20.72324
E059001,-111.4986,20.77309
E060001,-111.1707,20.82184
E061001,-110.8425,20.86951
E062001,-110.5139,20.91606
E063001,-110.1849,20.9615
E064001,-109.8556,21.00587
E065001,-109.526,21.04913
E066001,-109.196,21.09126
E067001,-108.8657,21.1323
E068001,-108.5351,21.17222
E069001,-108.2042,21.21102
E070001,-107.8729,21.2487
E071001,-107.5414,21.28528
E072001,-107.2096,21.32072
E073001,-106.8776,21.35505
E074001,-106.5452,21.38824
E075001,-106.2126,21.42031
E076001,-105.8798,21.45126
E077001,-105.5467,21.48108
E078001,-105.2134,21.50975
E079001,-104.8799,21.53729
E080001,-104.5461,21.56371
E081001,-104.2122,21.58897
E082001,-103.8781,21.61311
E083001,-103.5437,21.6361
E084001,-103.2092,21.65794
E085001,-102.8746,21.67866
E086001,-102.5397,21.69823
E087001,-102.2047,21.71666
E088001,-101.8696,21.73393
E089001,-101.5344,21.75005
E090001,-101.199,21.76502
E091001,-100.8635,21.77886
E092001,-100.5279,21.79154
E093001,-100.1922,21.80306
E094001,-99.85638,21.81345
E095001,-99.52054,21.82267
E096001,-99.1846,21.83076
E097001,-98.84863,21.83768
E098001,-98.51257,21.84344
E099001,-98.17648,21.84805
E100001,-97.84039,21.85151
E101001,-97.50424,21.85383
E102001,-97.16809,21.85498
E103001,-96.83191,21.85498
E104001,-96.49579,21.85383
E105001,-96.15964,21.85151
E106001,-95.82352,21.84805
E107001,-95.48743,21.84344
E108001,-95.1514,21.83768
E109001,-94.8154,21.83076
E110001,-94.47946,21.82267
E111001,-94.14362,21.81345
E112001,-93.80783,21.80306
E113001,-93.47214,21.79154
E114001,-93.13654,21.77886
E115001,-92.80103,21.76502
E116001,-92.46564,21.75005
E117001,-92.1304,21.73393
E118001,-91.79526,21.71666
E119001,-91.46027,21.69823
E120001,-91.12546,21.67866
E121001,-90.79077,21.65794
E122001,-90.45627,21.6361
E123001,-90.12195,21.61311
E124001,-89.78781,21.58897
E125001,-89.45386,21.56371
E126001,-89.12012,21.53729
E127001,-88.78659,21.50975
E128001,-88.45328,21.48108
E129001,-88.12021,21.45126
E130001,-87.78735,21.42031
E131001,-87.45477,21.38824
E132001,-87.12244,21.35505
E133001,-86.79037,21.32072
E134001,-86.45859,21.28528
E135001,-86.12708,21.2487
E136001,-85.79584,21.21102
E137001,-85.46494,21.17222
E138001,-85.13431,21.1323
E139001,-84.80402,21.09126
E140001,-84.47406,21.04913
E141001,-84.14441,21.00587
E142001,-83.81509,20.9615
E143001,-83.48615,20.91606
E144001,-83.15753,20.86951
E145001,-82.82932,20.82184
E146001,-82.50143,20.77309
E147001,-82.17395,20.72324
E148001,-81.84686,20.67231
E149001,-81.52017,20.62031
E150001,-81.19388,20.5672
E151001,-80.86798,20.51302
E152001,-80.54254,20.45774
E153001,-80.2175,20.40142
E154001,-79.89288,20.34401
E155001,-79.56873,20.28554
E156001,-79.245,20.226
E157001,-78.92175,20.16539
E158001,-78.59894,20.10374
E159001,-78.27661,20.04102
E160001,-77.95477,19.97726
E161001,-77.63342,19.91245
E162001,-77.31253,19.84659
E163001,-76.99216,19.77969
E164001,-76.6723,19.71177
E165001,-76.35294,19.64281
E166001,-76.03409,19.57281
E167001,-75.71576,19.50179
E168001,-75.39801,19.42975
E169001,-75.08075,19.35669
E170001,-74.76404,19.28262
E171001,-74.44788,19.20753
E172001,-74.13229,19.13145
E173001,-73.81726,19.05437
E174001,-73.50278,18.97629
E175001,-73.1889,18.89722
E176001,-72.87558,18.81715
E177001,-72.56287,18.7361
E178001,-72.25073,18.65408
E179001,-71.93918,18.57108
E180001,-71.62827,18.48711
E181001,-71.31793,18.40217
E182001,-71.00824,18.31627
E183001,-70.69913,18.22942
E184001,-70.39069,18.14161
E185001,-70.08282,18.05286
E186001,-69.77563,17.96316
E187001,-69.46906,17.87252
E188001,-69.16315,17.78096
E189001,-68.85791,17.68846
E190001,-68.55328,17.59505
E191001,-68.24933,17.50072
E192001,-67.94604,17.40546
E193001,-67.64343,17.3093
E194001,-67.34149,17.21225
E195001,-67.04022,17.11428
E196001,-66.73962,17.01543
E197001,-66.43973,16.9157
E198001,-66.14053,16.81506
E001002,-129.751,16.47623
E002002,-129.4552,16.58256
E003002,-129.1586,16.68805
E004002,-128.8614,16.79269
E005002,-128.5634,16.89645
E006002,-128.2648,16.99932
E007002,-127.9654,17.10136
E008002,-127.6653,17.20248
E009002,-127.3646,17.30273
E010002,-127.0631,17.40208
E011002,-126.7609,17.50054
E012002,-126.4581,17.59809
E013002,-126.1546,17.69474
E014002,-125.8504,17.79047
E015002,-125.5455,17.88529
E016002,-125.24,17.97919
E017002,-124.9338,18.07216
E018002,-124.627,18.16419
E019002,-124.3195,18.25528
E020002,-124.0113,18.34544
E021002,-123.7025,18.43465
E022002,-123.3931,18.52291
E023002,-123.0831,18.6102
E024002,-122.7724,18.69654
E025002,-122.4611,18.78192
E026002,-122.1492,18.86632
E027002,-121.8367,18.94974
E028002,-121.5235,19.03218
E029002,-121.2098,19.11365
E030002,-120.8955,19.19411
E031002,-120.5806,19.2736
E032002,-120.2651,19.35208
E033002,-119.9491,19.42957
E034002,-119.6324,19.50605
E035002,-119.3152,19.58152
E036002,-118.9975,19.65597
E037002,-118.6792,19.72939
E038002,-118.3604,19.8018
E039002,-118.041,19.87319
E040002,-117.7211,19.94354
E041002,-117.4007,20.01286
E042002,-117.0797,20.08114
E043002,-116.7583,20.14839
E044002,-116.4363,20.21458
E045002,-116.1139,20.27973
E046002,-115.7909,20.34382
E047002,-115.4675,20.40687
E048002,-115.1436,20.46885
E049002,-114.8192,20.52975
E050002,-114.4944,20.5896
E051002,-114.1691,20.64837
E052002,-113.8434,20.70609
E053002,-113.5172,20.76271
E054002,-113.1907,20.81826
E055002,-112.8636,20.87273
E056002,-112.5362,20.9261
E057002,-112.2084,20.97839
E058002,-111.8801,21.02959
E059002,-111.5515,21.07969
E060002,-111.2225,21.12869
E061002,-110.8931,21.1766
E062002,-110.5633,21.2234
E063002,-110.2332,21.26909
E064002,-109.9027,21.31367
E065002,-109.5719,21.35715
E066002,-109.2407,21.39951
E067002,-108.9092,21.44077
E068002,-108.5775,21.48089
E069002,-108.2453,21.51989
E070002,-107.9129,21.55779
E071002,-107.5802,21.59454
E072002,-107.2472,21.63017
E073002,-106.9139,21.66468
E074002,-106.5804,21.69804
E075002,-106.2466,21.73029
E076002,-105.9126,21.76139
E077002,-105.5783,21.79134
E078002,-105.2437,21.82018
E079002,-104.909,21.84786
E080002,-104.574,21.87442
E081002,-104.2389,21.89982
E082002,-103.9035,21.92408
E083002,-103.5679,21.9472
E084002,-103.2322,21.96915
E085002,-102.8963,21.98997
E086002,-102.5602,22.00964
E087002,-102.224,22.02815
E088002,-101.8877,22.04552
E089002,-101.5512,22.06174
E090002,-101.2145,22.07678
E091002,-100.8778,22.09069
E092002,-100.541,22.10344
E093002,-100.204,22.11503
E094002,-99.867,22.12547
E095002,-99.52991,22.13474
E096002,-99.19272,22.14286
E097002,-98.85547,22.14982
E098002,-98.51819,22.1556
E099002,-98.18085,22.16025
E100002,-97.84351,22.16373
E101002,-97.5061,22.16605
E102002,-97.1687,22.16721
E103002,-96.8313,22.16721
E104002,-96.4939,22.16605
E105002,-96.15652,22.16373
E106002,-95.81915,22.16025
E107002,-95.48181,22.1556
E108002,-95.14453,22.14982
E109002,-94.80731,22.14286
E110002,-94.47012,22.13474
E111002,-94.133,22.12547
E112002,-93.79599,22.11503
E113002,-93.45905,22.10344
E114002,-93.12219,22.09069
E115002,-92.78546,22.07678
E116002,-92.44885,22.06174
E117002,-92.11237,22.04552
E118002,-91.776,22.02815
E119002,-91.43976,22.00964
E120002,-91.1037,21.98997
E121002,-90.76779,21.96915
E122002,-90.43207,21.9472
E123002,-90.0965,21.92408
E124002,-89.76114,21.89982
E125002,-89.42596,21.87442
E126002,-89.091,21.84786
E127002,-88.75626,21.82018
E128002,-88.42175,21.79134
E129002,-88.08746,21.76139
E130002,-87.75342,21.73029
E131002,-87.41962,21.69804
E132002,-87.08606,21.66468
E133002,-86.75281,21.63017
E134002,-86.4198,21.59454
E135002,-86.0871,21.55779
E136002,-85.75467,21.51989
E137002,-85.42258,21.48089
E138002,-85.09076,21.44077
E139002,-84.75928,21.39951
E140002,-84.42813,21.35715
E141002,-84.09729,21.31367
E142002,-83.76685,21.26909
E143002,-83.43671,21.2234
E144002,-83.10693,21.1766
E145002,-82.77756,21.12869
E146002,-82.44852,21.07969
E147002,-82.1199,21.02959
E148002,-81.79166,20.97839
E149002,-81.46381,20.9261
E150002,-81.13638,20.87273
E151002,-80.80936,20.81826
E152002,-80.48276,20.76271
E153002,-80.15662,20.70609
E154002,-79.83087,20.64837
E155002,-79.50558,20.5896
E156002,-79.18076,20.52975
E157002,-78.85638,20.46885
E158002,-78.5325,20.40687
E159002,-78.20908,20.34382
E160002,-77.88614,20.27973
E161002,-77.56369,20.21458
E162002,-77.24173,20.14839
E163002,-76.92029,20.08114
E164002,-76.59933,20.01286
E165002,-76.2789,19.94354
E166002,-75.95898,19.87319
E167002,-75.63962,19.8018
E168002,-75.3208,19.72939
E169002,-75.0025,19.65597
E170002,-74.68475,19.58152
E171002,-74.36755,19.50605
E172002,-74.05093,19.42957
E173002,-73.73489,19.35208
E174002,-73.4194,19.2736
E175002,-73.10449,19.19411
E176002,-72.79019,19.11365
E177002,-72.47644,19.03218
E178002,-72.16333,18.94974
E179002,-71.85083,18.86632
E180002,-71.53891,18.78192
E181002,-71.2276,18.69654
E182002,-70.91693,18.6102
E183002,-70.60687,18.52291
E184002,-70.29745,18.43465
E185002,-69.98868,18.34544
E186002,-69.68054,18.25528
E187002,-69.37305,18.16419
E188002,-69.06619,18.07216
E189002,-68.76001,17.97919
E190002,-68.45447,17.88529
E191002,-68.1496,17.79047
E192002,-67.8454,17.69474
E193002,-67.5419,17.59809
E194002,-67.23907,17.50054
E195002,-66.93692,17.40208
E196002,-66.63544,17.30273
E197002,-66.33469,17.20248
E198002,-66.03461,17.10136
E001003,-129.8627,16.75973
E002003,-129.5661,16.86662
E003003,-129.2687,16.97263
E004003,-128.9706,17.07778
E005003,-128.6718,17.18207
E006003,-128.3723,17.28548
E007003,-128.072,17.38802
E008003,-127.7711,17.48965
E009003,-127.4694,17.59041
E010003,-127.1671,17.69028
E011003,-126.864,17.78922
E012003,-126.5603,17.88728
E013003,-126.2559,17.98441
E014003,-125.9508,18.08064
E015003,-125.645,18.17593
E016003,-125.3386,18.27032
E017003,-125.0315,18.36375
E018003,-124.7237,18.45626
E019003,-124.4152,18.54781
E020003,-124.1061,18.63843
E021003,-123.7964,18.7281
E022003,-123.486,18.8168
E023003,-123.175,18.90454
E024003,-122.8634,18.99133
E025003,-122.5511,19.07713
E026003,-122.2382,19.16196
E027003,-121.9247,19.24581
E028003,-121.6105,19.32868
E029003,-121.2958,19.41055
E030003,-120.9805,19.49144
E031003,-120.6646,19.57133
E032003,-120.3481,19.65023
E033003,-120.031,19.72811
E034003,-119.7133,19.80498
E035003,-119.3951,19.88081
E036003,-119.0763,19.95565
E037003,-118.757,20.02947
E038003,-118.4371,20.10226
E039003,-118.1166,20.17401
E040003,-117.7957,20.24471
E041003,-117.4742,20.3144
E042003,-117.1521,20.38304
E043003,-116.8296,20.45062
E044003,-116.5066,20.51717
E045003,-116.183,20.58264
E046003,-115.859,20.64708
E047003,-115.5345,20.71043
E048003,-115.2094,20.77273
E049003,-114.884,20.83395
E050003,-114.558,20.89411
E051003,-114.2316,20.95319
E052003,-113.9048,21.01119
E053003,-113.5775,21.06812
E054003,-113.2497,21.12394
E055003,-112.9216,21.17869
E056003,-112.593,21.23235
E057003,-112.264,21.28492
E058003,-111.9346,21.33637
E059003,-111.6048,21.38673
E060003,-111.2746,21.43598
E061003,-110.944,21.48415
E062003,-110.6131,21.53118
E063003,-110.2818,21.57712
E064003,-109.9501,21.62193
E065003,-109.6181,21.66563
E066003,-109.2858,21.70822
E067003,-108.9531,21.74968
E068003,-108.6201,21.79001
E069003,-108.2868,21.82922
E070003,-107.9532,21.86729
E071003,-107.6193,21.90426
E072003,-107.2851,21.94007
E073003,-106.9506,21.97475
E074003,-106.6158,22.00831
E075003,-106.2808,22.0407
E076003,-105.9456,22.07197
E077003,-105.61,22.1021
E078003,-105.2743,22.13107
E079003,-104.9383,22.15891
E080003,-104.6021,22.18559
E081003,-104.2657,22.21113
E082003,-103.9291,22.23551
E083003,-103.5923,22.25875
E084003,-103.2554,22.28082
E085003,-102.9182,22.30175
E086003,-102.5809,22.32152
E087003,-102.2434,22.34013
E088003,-101.9059,22.35759
E089003,-101.5681,22.37387
E090003,-101.2302,22.38902
E091003,-100.8922,22.40299
E092003,-100.5541,22.41579
E093003,-100.2159,22.42745
E094003,-99.87769,22.43794
E095003,-99.53931,22.44726
E096003,-99.20087,22.45543
E097003,-98.8624,22.46243
E098003,-98.52383,22.46825
E099003,-98.18524,22.47292
E100003,-97.84662,22.4764
E101003,-97.508,22.47874
E102003,-97.16934,22.4799
E103003,-96.83069,22.4799
E104003,-96.492,22.47874
E105003,-96.15338,22.4764
E106003,-95.81476,22.47292
E107003,-95.47617,22.46825
E108003,-95.13763,22.46243
E109003,-94.79913,22.45543
E110003,-94.46069,22.44726
E111003,-94.12234,22.43794
E112003,-93.78406,22.42745
E113003,-93.44586,22.41579
E114003,-93.10776,22.40299
E115003,-92.76978,22.38902
E116003,-92.43192,22.37387
E117003,-92.09418,22.35759
E118003,-91.75656,22.34013
E119003,-91.4191,22.32152
E120003,-91.08179,22.30175
E121003,-90.74463,22.28082
E122003,-90.40765,22.25875
E123003,-90.07086,22.23551
E124003,-89.73428,22.21113
E125003,-89.39789,22.18559
E126003,-89.06168,22.15891
E127003,-88.72571,22.13107
E128003,-88.38995,22.1021
E129003,-88.05444,22.07197
E130003,-87.71918,22.0407
E131003,-87.38416,22.00831
E132003,-87.04941,21.97475
E133003,-86.71494,21.94007
E134003,-86.38074,21.90426
E135003,-86.04681,21.86729
E136003,-85.7132,21.82922
E137003,-85.37988,21.79001
E138003,-85.04688,21.74968
E139003,-84.71423,21.70822
E140003,-84.38187,21.66563
E141003,-84.04987,21.62193
E142003,-83.7182,21.57712
E143003,-83.3869,21.53118
E144003,-83.05597,21.48415
E145003,-82.7254,21.43598
E146003,-82.39523,21.38673
E147003,-82.06543,21.33637
E148003,-81.73602,21.28492
E149003,-81.40704,21.23235
E150003,-81.07846,21.17869
E151003,-80.75031,21.12394
E152003,-80.42255,21.06812
E153003,-80.09528,21.01119
E154003,-79.7684,20.95319
E155003,-79.44202,20.89411
E156003,-79.11606,20.83395
E157003,-78.79059,20.77273
E158003,-78.46558,20.71043
E159003,-78.14105,20.64708
E160003,-77.81699,20.58264
E161003,-77.49344,20.51717
E162003,-77.17041,20.45062
E163003,-76.84787,20.38304
E164003,-76.52585,20.3144
E165003,-76.20435,20.24471
E166003,-75.88336,20.17401
E167003,-75.56293,20.10226
E168003,-75.24304,20.02947
E169003,-74.92371,19.95565
E170003,-74.60492,19.88081
E171003,-74.28668,19.80498
E172003,-73.96902,19.72811
E173003,-73.65195,19.65023
E174003,-73.33545,19.57133
E175003,-73.01953,19.49144
E176003,-72.70419,19.41055
E177003,-72.38947,19.32868
E178003,-72.07535,19.24581
E179003,-71.76184,19.16196
E180003,-71.44894,19.07713
E181003,-71.13666,18.99133
E182003,-70.82501,18.90454
E183003,-70.51398,18.8168
E184003,-70.20361,18.7281
E185003,-69.89386,18.63843
E186003,-69.58478,18.54781
E187003,-69.27634,18.45626
E188003,-68.96857,18.36375
E189003,-68.66144,18.27032
E190003,-68.35498,18.17593
E191003,-68.04919,18.08064
E192003,-67.74411,17.98441
E193003,-67.4397,17.88728
E194003,-67.13596,17.78922
E195003,-66.83292,17.69028
E196003,-66.53058,17.59041
E197003,-66.22894,17.48965
