"ACCESS-CM2","CSIRO-ARCCSS (Australia)","Bi et al. (2020)  https://doi.org/10.22033/ESGF/CMIP6.2285"
"ACCESS-ESM1-5","CSIRO (Australia)","Ziehn et al. (2020)  https://doi.org/10.22033/ESGF/CMIP6.2291"
"BCC-CSM2-MR","Beijing Climate Center (China)","Wu et al. (2019); Xin et al. (2019)  https://doi.org/10.22033/ESGF/CMIP6.1732"
"CanESM5","Canadian Centre for Climate Modelling and Analysis (Canada)","Swart et al. (2019)  https://doi.org/10.22033/ESGF/CMIP6.1317  https://doi.org/10.22033/ESGF/CMIP6.10207"
"CESM2","National Center for Atmospheric Research (USA)","Danabasoglu et al. (2020)  https://doi.org/10.22033/ESGF/CMIP6.10026  https://doi.org/10.22033/ESGF/CMIP6.2201"
"CESM2-WACCM","National Center for Atmospheric Research (USA)","Danabasoglu et al. (2020)  https://doi.org/10.22033/ESGF/CMIP6.10026  https://doi.org/10.22033/ESGF/CMIP6.2201"
"CMCC-CM2-SR5","Centro Euro-Mediterraneo sui Cambiamenti Climatici (Italy)","Cherchi et al. (2019)  https://doi.org/10.22033/ESGF/CMIP6.3825  https://doi.org/10.22033/ESGF/CMIP6.3887  https://doi.org/10.22033/ESGF/CMIP6.3889  https://doi.org/10.22033/ESGF/CMIP6.3890  https://doi.org/10.22033/ESGF/CMIP6.3896"
"CMCC-ESM2","Centro Euro-Mediterraneo sui Cambiamenti Climatici (Italy)","Cherchi et al. (2019)  https://doi.org/10.22033/ESGF/CMIP6.3825  https://doi.org/10.22033/ESGF/CMIP6.3887  https://doi.org/10.22033/ESGF/CMIP6.3889  https://doi.org/10.22033/ESGF/CMIP6.3890  https://doi.org/10.22033/ESGF/CMIP6.3896"
"CNRM-CM6-1","CNRM-CERFACS (France)","Roehrig et al. (2020); Michou et al. (2020); Voldoire et al. (2019); Seferian  et al. (2020)  https://doi.org/10.22033/ESGF/CMIP6.4191   https://doi.org/10.22033/ESGF/CMIP6.4197  https://doi.org/10.22033/ESGF/CMIP6.4198"
"CNRM-ESM2-1","CNRM-CERFACS (France)","Roehrig et al. (2020); Michou et al. (2020); Voldoire et al. (2019); Seferian  et al. (2020)  https://doi.org/10.22033/ESGF/CMIP6.4191   https://doi.org/10.22033/ESGF/CMIP6.4197  https://doi.org/10.22033/ESGF/CMIP6.4198"
"EC-Earth3","EC-Earth Consortium","Doescher et al. (2020)  https://doi.org/10.22033/ESGF/CMIP6.727"
"EC-Earth3-Veg-LR","EC-Earth Consortium","Doescher et al. (2020)  https://doi.org/10.22033/ESGF/CMIP6.727"
"FGOALS-g3","Institute of Atmospheric Physics (China)","He et al. (2019), Li et al. (2019), Bao and Li (2020)  https://doi.org/10.22033/ESGF/CMIP6.2046  https://doi.org/10.22033/ESGF/CMIP6.2056"
"GFDL-CM4","NOAA-Geophysical Fluid Dynamics Laboratory (USA)","Held et al. (2019), Dunne et al. (2020)  https://doi.org/10.22033/ESGF/CMIP6.1414  https://doi.org/10.22033/ESGF/CMIP6.9242"
"GFDL-CM4_gr2","NOAA-Geophysical Fluid Dynamics Laboratory (USA)","Held et al. (2019), Dunne et al. (2020)  https://doi.org/10.22033/ESGF/CMIP6.1414  https://doi.org/10.22033/ESGF/CMIP6.9242"
"GFDL-ESM4","NOAA-Geophysical Fluid Dynamics Laboratory (USA)","Held et al. (2019), Dunne et al. (2020)  https://doi.org/10.22033/ESGF/CMIP6.1414  https://doi.org/10.22033/ESGF/CMIP6.9242"
"GISS-E2-1-G","NASA Goddard Institute of Space Studies (USA)","Kelley et al. (2020), Miller et al. (2021)  https://doi.org/10.22033/ESGF/CMIP6.2074"
"HadGEM3-GC31-LL","Met Office Hadley Center (UK) and Natural Environment Research Council (UK)","Sellar et al. (2019), Kuhlbrodt et al. (2018), Williams et al. (2017)  https://doi.org/10.22033/ESGF/CMIP6.1567  https://doi.org/10.22033/ESGF/CMIP6.10845"
"HadGEM3-GC31-MM","Met Office Hadley Center (UK) and Natural Environment Research Council (UK)","Sellar et al. (2019), Kuhlbrodt et al. (2018), Williams et al. (2017)  https://doi.org/10.22033/ESGF/CMIP6.1567  https://doi.org/10.22033/ESGF/CMIP6.10845"
"IITM-ESM","Centre for Climate Change Research, Indian Institute of Tropical Meteorology (India)","Swapna et al. (2018)  https://doi.org/10.22033/ESGF/CMIP6.44"
"INM-CM4-8","Institute for Numerical Mathematic (Russia)","Volodin et al. (2017, 2018)  https://doi.org/10.22033/ESGF/CMIP6.12321  https://doi.org/10.22033/ESGF/CMIP6.12322"
"INM-CM5-0","Institute for Numerical Mathematic (Russia)","Volodin et al. (2017, 2018)  https://doi.org/10.22033/ESGF/CMIP6.12321  https://doi.org/10.22033/ESGF/CMIP6.12322"
"IPSL-CM6A-LR","Institut Pierre-Simon Laplace (France)","Boucher et al. (2020), Hourdin et al. (2020), Lurton et al. (2020)  https://doi.org/10.22033/ESGF/CMIP6.1532"
"KACE-1-0-G","National Institute of Meteorological Sciences, Korea Meteorological Administration (South Korea)","Lee et al. (2020)  https://doi.org/10.22033/ESGF/CMIP6.2241"
